Timestamp,Pais,Código de participante,Ud es:,1. Entregaría recomendaciones de higiene oral a pacientes adultos,3. ¿Le entregaría recomendación de higiene oral a CADA paciente adulto?,4. ¿Cuánto tiempo dedicaría dando recomendaciones de higiene oral?,6. ¿Recomendaría enjuague bucal fluoridado como parte de una rutina diaria de higiene oral?,7. ¿Recomendaría el cepillado dental a todos los pacientes adultos?,"8.a) Cuando recomienda el cepillado dental, ¿recomendaría usted un tipo de cepillo?","8.b) Cuando recomienda el cepillado dental, ¿recomendaría usted tamaño de la cabeza del cepillo?","8.c) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cambiar el cepillo de dientes?","8.f) Cuando recomienda el cepillado dental, ¿recomendaría usted una técnica de cepillado?",9. ¿Recomendaría el uso de pasta dental a todos los pacientes adultos?,"10.c) Cuando recomienda pasta dental, ¿cuanta cantidad de pasta de dientes a utilizar cada vez?","12.a) Cuando recomienda la limpieza interdental, ¿recomendaría un tipo de dispositivo interdental?",13. La higiene oral juega un rol causal en muchas enfermedades orales.,14. La persona promedio de mi país tiene buena salud oral.,15. Modificaciones a la higiene oral pueden prevenir muchas enfermedades oral.,16. La profilaxis profesional no tiene efecto sobre la salud oral de los individuos.,17. Los dentistas no dan suficientes recomendaciones sobre higiene oral a sus pacientes.,18. El personal dental (dentistas y auxiliares) desempeñan el mismo rol en brindar consejos de higiene oral a los pacientes.,"19. Consejos de salud bucal contradictorios pueden tener un efecto negativo en el comportamiento, la motivación y las actitudes de un individuo.",20. La eliminación de las contradicciones en los mensajes de salud oral puede tener efectos positivos sobre la salud oral de los chilenos.,21. Existen contradicciones entre los mensajes de salud oral entregados por  dentistas y personal auxiliar odontológico.,22. Mejores consejos preventivos de profesionales de la odontología puede tener efectos positivos significativos sobre la salud de las personas.
9/14/2014 23:21:24,Chile,176E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,medio,3 meses,Bass modificada,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 23:25:25,Chile,175E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,3 meses,Bass modificada,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 23:36:59,Chile,173E,Estudiante,en respuesta a una solicitud hecha para un consejo de higiene oral,Si,8 minutos,Si,Si,manual,pequeño,no recomendaría,Bass modificada,Si,tamaño arveja ,hilo dental,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 23:40:29,Chile,110E,Estudiante,en respuesta a una solicitud hecha para un consejo de higiene oral,Si,5 minutos,Si,Si,manual,medio,3-6 meses,Bass modificada,Si,tamaño arveja ,ambos,Muy de acuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo
9/14/2014 23:47:09,Chile,172E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,no recomendaría,Bass modificada,Si,tamaño arveja ,hilo dental,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,,Muy de acuerdo
9/15/2014 0:08:10,Chile,170E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,Si,Si,manual,pequeño,no recomendaría,Bass modificada,Si,tamaño arveja ,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/15/2014 1:15:51,Chile,14D,Dentista,cuando usted sienta que es necesario,Si,1-2 minutos,Si,Si,manual,medio,no recomendaría,Bass modificada,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/15/2014 1:17:02,Chile,29E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,no recomendaría,1-3 meses,Bass modificada,Si,no recomendaría,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo
9/15/2014 1:26:41,Chile,10D,Dentista,,Si,10 minutos o más,No,Si,manual,pequeño,3 meses,Bass modificada,Si,tamaño arveja ,ambos,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo
9/15/2014 1:27:05,Chile,33E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,pequeño,1-3 meses,Bass modificada,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/15/2014 1:29:21,Chile,36E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,pequeño,1-3 meses,Bass modificada,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/15/2014 1:31:41,Chile,37E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,pequeño,3 meses,Bass modificada,Si,menos que tamaño arveja,ambos,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/15/2014 1:33:11,Chile,6D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,3 meses,Bass modificada,Si,tamaño arveja ,ambos,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/15/2014 1:34:11,Chile,38E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,recomendaría,1-3 meses,Bass modificada,Si,menos que tamaño arveja,recomendaría,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo
9/20/2014 23:25:19,Chile,105D,Dentista,cuando usted sienta que es necesario,Si,5 minutos,No,Si,manual,medio,1-3 meses,Bass modificada,Si,recomendaría,hilo dental,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/14/2014 19:46:57,Chile,74E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,3-6 meses,Bass modificada,Si,menos que tamaño arveja,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/14/2014 21:10:43,Chile,55E,Estudiante,cuando usted sienta que es necesario,Si,8 minutos,No,Si,manual,medio,1-3 meses,Bass modificada,Si,tamaño arveja ,no recomendaría,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo
9/14/2014 21:15:50,Chile,86E,Estudiante,en respuesta a una solicitud hecha para un consejo de higiene oral,Si,5 minutos,Si,Si,manual,medio,3-6 meses,Bass modificada,Si,tamaño arveja ,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 21:18:52,Chile,87E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,medio,3 meses,Bass modificada,Si,tamaño arveja ,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 21:20:44,Chile,88E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,1-3 meses,Bass modificada,Si,tamaño arveja ,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/14/2014 21:23:23,Chile,34E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,pequeño,3 meses,Bass modificada,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 21:25:36,Chile,43E,Estudiante,en respuesta a una solicitud hecha para un consejo de higiene oral,Si,8 minutos,Si,Si,manual,pequeño,1-3 meses,Bass modificada,Si,tamaño arveja ,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/14/2014 21:33:21,Chile,118E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,3 meses,Bass modificada,Si,tamaño arveja ,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/14/2014 21:42:57,Chile,56E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,Si,Si,manual,pequeño,1-3 meses,Bass modificada,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 22:24:58,Chile,7E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,Si,Si,manual,recomendaría,1-3 meses,Bass modificada,Si,tamaño arveja ,ambos,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 22:34:46,Chile,9E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,3 meses,Bass modificada,Si,tamaño arveja ,hilo dental,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo
9/14/2014 22:39:58,Chile,11E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,1-3 meses,Bass modificada,Si,no recomendaría,ambos,De acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo
9/14/2014 22:44:22,Chile,13E,Estudiante,cuando usted sienta que es necesario,Si,1-2 minutos,No,Si,manual,medio,1-3 meses,Bass modificada,Si,"muy poco, poco",ambos,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 22:49:29,Chile,15E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,recomendaría,3 meses,Bass modificada,Si,menos que tamaño arveja,recomendaría,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 23:04:26,Chile,16E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,3 meses,Bass modificada,Si,no recomendaría,ambos,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 23:06:58,Chile,17E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,pequeño,1-3 meses,Bass modificada,Si,menos que tamaño arveja,ambos,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/14/2014 23:32:02,Chile,51D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,1-2 minutos,Si,Si,manual,recomendaría,1-3 meses,Bass modificada,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/15/2014 0:44:35,Chile,29D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,medio,3-6 meses,Bass modificada,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,,Muy de acuerdo
8/29/2014 15:31:40,Chile,92D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,medio,1-3 meses,Bass modificada o Stillman,Si,no recomendaría,hilo dental,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo
8/29/2014 15:35:02,Chile,93D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,pequeño,3 meses,Bass modificada o Stillman,Si,no recomendaría,hilo dental,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo
8/29/2014 15:42:50,Chile,97D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,medio,1-3 meses,Bass modificada o Stillman,Si,tamaño arveja ,hilo dental,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
8/29/2014 15:46:15,Chile,99D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",No,8 minutos,No,Si,recomendaría,pequeño,1-3 meses,Bass modificada o Stillman,Si,tamaño arveja ,ambos,De acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 12:34:52,Chile,192E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,Si,Si,manual,medio,cuando las cerdas estén abiertas,Bass modificada o Stillman,Si,no recomendaría,ambos,En desacuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/11/2014 16:17:10,Chile,112D,Dentista,cuando usted sienta que es necesario,Si,8 minutos,No,Si,manual,medio,1-3 meses,Bass modificada o Stillman,Si,tamaño arveja ,ambos,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
9/14/2014 23:50:47,Chile,108E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,1-3 meses,Bass modificada o Stillman,Si,no recomendaría,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 21:06:35,Chile,65E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,medio,3 meses,Bass modificada o Stillman,Si,no recomendaría,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo
9/14/2014 21:07:37,Chile,84E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,pequeño,1-3 meses,Bass o Stillman,Si,no recomendaría,ambos,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/14/2014 19:10:01,Chile,40D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,Si,Si,manual,pequeño,3 meses,charters,Si,tamaño arveja ,hilo dental,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
8/30/2014 11:49:47,Chile,153E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,Si,Si,manual,medio,1-3 meses,recomendaría,Si,tamaño arveja ,hilo dental,De acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
8/30/2014 11:55:48,Chile,152E,Estudiante,cuando usted sienta que es necesario,Si,5 minutos,No,Si,manual,pequeño,1-3 meses,recomendaría,Si,menos que tamaño arveja,ambos,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo
8/30/2014 12:53:44,Chile,125E,Estudiante,cuando usted sienta que es necesario,No,5 minutos,No,Si,manual,medio,3 meses,recomendaría,Si,tamaño arveja ,ambos,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/1/2014 10:28:09,Chile,97E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,3 meses,recomendaría,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,,Muy de acuerdo
9/1/2014 14:23:02,Chile,94E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,recomendaría,1-3 meses,recomendaría,Si,tamaño arveja ,ambos,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/1/2014 14:27:01,Chile,93E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,3-6 meses,recomendaría,Si,tamaño arveja ,ambos,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/1/2014 14:54:03,Chile,92E,Estudiante,cuando usted sienta que es necesario,No,5 minutos,No,Si,manual,no recomendaría,3 meses,recomendaría,Si,tamaño arveja ,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo
9/8/2014 10:45:30,Chile,71E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,pequeño,3 meses,recomendaría,Si,menos que tamaño arveja,ambos,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo
9/8/2014 11:29:22,Chile,22E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,Si,Si,manual,medio,3 meses,recomendaría,,no recomendaría,ambos,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
9/8/2014 11:35:04,Chile,66E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,Si,Si,manual,pequeño,no recomendaría,recomendaría,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo
9/8/2014 12:10:27,Chile,190E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,Si,Si,manual,medio,3 meses,recomendaría,Si,1/2 cabeza del cepillo,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 12:18:49,Chile,130E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,Si,Si,manual,medio,1-3 meses,recomendaría,Si,tamaño arveja ,recomendaría,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,,Muy de acuerdo
9/8/2014 15:09:30,Chile,39E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,Si,Si,manual,medio,3 meses,recomendaría,Si,no recomendaría,hilo dental,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo
9/8/2014 15:16:17,Chile,17D,Dentista,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,pequeño,1-3 meses,recomendaría,Si,tamaño arveja ,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
9/8/2014 15:32:55,Chile,165E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,No,Si,manual,pequeño,1-3 meses,recomendaría,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 15:52:39,Chile,102E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,3 meses,recomendaría,Si,tamaño arveja ,hilo dental,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/8/2014 16:37:52,Chile,134E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",No,8 minutos,No,Si,manual,medio,3 meses,recomendaría,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 18:57:52,Chile,160E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,10 minutos o más,Si,Si,manual,pequeño,3-6 meses,recomendaría,Si,"mas que tamaño arveja, menos que 1/2 cabeza",hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/8/2014 19:02:44,Chile,104E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,1-3 meses,recomendaría,Si,tamaño arveja ,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo
9/8/2014 19:19:52,Chile,157E,Estudiante,cuando usted sienta que es necesario,Si,5 minutos,No,Si,manual,pequeño,3 meses,recomendaría,Si,menos que tamaño arveja,hilo dental,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 19:35:57,Chile,106E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,No,Si,manual,no recomendaría,1-3 meses,recomendaría,Si,tamaño arveja ,ambos,Muy de acuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/8/2014 19:41:56,Chile,169E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,Si,Si,manual,pequeño,3 meses,recomendaría,Si,tamaño arveja ,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo
9/8/2014 19:44:50,Chile,168E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,5 minutos,No,Si,manual,medio,3 meses,recomendaría,Si,no recomendaría,hilo dental,Muy de acuerdo,En desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 21:22:10,Chile,137E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,1-2 minutos,No,Si,recomendaría,pequeño,1-3 meses,recomendaría,Si,menos que tamaño arveja,hilo dental,De acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
9/8/2014 21:33:28,Chile,139E,Estudiante,"como parte del cuidado regular de un paciente (es decir, siempre)",Si,8 minutos,Si,Si,manual,medio,1-3 meses,recomendaría,Si,no recomendaría,ambos,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,Muy en desacuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo
9/8/2014 21:55:06,Chile,148E,Estudiante,cuando usted sienta que es necesario,No,5 minutos,No,Si,manual,recomendaría,3 meses,recomendaría,Si,menos que tamaño arveja,ambos,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo
