"N","Timestamp","Pais","Código de participante","Ud es:","1. Entregaría recomendaciones de higiene oral a pacientes adultos","2. Entregaría recomendaciones de higiene oral a pacientes adultos","3. ¿Le entregaría recomendación de higiene oral a CADA paciente adulto?","4. ¿Cuánto tiempo dedicaría dando recomendaciones de higiene oral?","5. ¿Cómo entregaría sus consejos en higiene oral?","6. ¿Recomendaría enjuague bucal fluoridado como parte de una rutina diaria de higiene oral?","7. ¿Recomendaría el cepillado dental a todos los pacientes adultos?","8.a) Cuando recomienda el cepillado dental, ¿recomendaría usted un tipo de cepillo?","8.b) Cuando recomienda el cepillado dental, ¿recomendaría usted tamaño de la cabeza del cepillo?","8.c) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cambiar el cepillo de dientes?","8.d) Cuando recomienda el cepillado dental, ¿con qué frecuencia recomendaría usted cepillar diariamente?","8.e) Cuando recomienda el cepillado dental, ¿cuánto tiempo recomendaría usted para cepillar?","8.f) Cuando recomienda el cepillado dental, ¿recomendaría usted una técnica de cepillado?","9. ¿Recomendaría el uso de pasta dental a todos los pacientes adultos?","10.a) Cuando recomienda pasta dental, ¿recomendaría usted un tipo de pasta dental?","10.b) Cuando recomienda pasta dental, ¿cual concentración de pasta dental recomendaría?","10.c) Cuando recomienda pasta dental, ¿cuanta cantidad de pasta de dientes a utilizar cada vez?","10.d) Cuando recomienda pasta dental, ¿que tipo de enjuage recomendaría?","11. ¿Recomendaría limpieza interdental a todos los pacientes adultos?","12.a) Cuando recomienda la limpieza interdental, ¿recomendaría un tipo de dispositivo interdental?","12.b) Cuando recomienda la limpieza interdental, ¿cada cuanto recomienda utilizarlo?","12.c) Cuando recomienda la limpieza interdental, ¿demostraría una técnica ?","Año de egreso de pregrado:","gadi kops beigsanas","Año egreso higienistas","Curso actual","Curso higienistas"," 13. La higiene oral juega un rol causal en muchas enfermedades orales."," 14. La persona promedio de mi país tiene buena salud oral."," 15. Modificaciones a la higiene oral pueden prevenir muchas enfermedades oral."," 16. La profilaxis profesional no tiene efecto sobre la salud oral de los individuos."," 17. Los dentistas no dan suficientes recomendaciones sobre higiene oral a sus pacientes."," 18. El personal dental (dentistas y auxiliares) desempeñan el mismo rol en brindar consejos de higiene oral a los pacientes."," 19. Consejos de salud bucal contradictorios pueden tener un efecto negativo en el comportamiento, la motivación y las actitudes de un individuo."," 20. La eliminación de las contradicciones en los mensajes de salud oral puede tener efectos positivos sobre la salud oral de los chilenos."," 21. Existen contradicciones entre los mensajes de salud oral entregados por  dentistas y personal auxiliar odontológico."," 22. Mejores consejos preventivos de profesionales de la odontología puede tener efectos positivos significativos sobre la salud de las personas.","23. En promedio, ¿cuantas clases, prácticos, conferencias, seminarios o tutorías ha tenido en consejos de higiene oral para los pacientes?","24. ¿Siente que ha tenido suficiente formación en este aspecto de la atención al paciente y la prevención de enfermedades?","25. En su opinión ¿qué formación adicional siente que es necesaria?","26. ¿Se siente seguro/a en la actualidad entregando recomendaciones de higiene oral a pacientes adultos?","27. ¿ Se siente seguro/a en la actualidad de ser capaz de modificar la higiene oral aconsejando a una persona?","28. Si su respuesta es “No” a las preguntas 26. y 27  ¿por qué?","Comentarios de respondente"
1,"9/14/2014 23:21:24","Chile","176E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","10 minutos o más","Comunicación verbal, Demostraciones, Vídeos","No","Si","manual","medio","3 meses",3,"3-5","Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","2 veces al día","No",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","No","Si",,
1,"9/14/2014 23:25:25","Chile","175E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones, Vídeos","No","Si","manual","pequeño","3 meses",3,3,"Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","3 veces al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","No","No",,
1,"9/14/2014 23:36:59","Chile","173E","Estudiante","en respuesta a una solicitud hecha para un consejo de higiene oral","en la primera cita del plan de tratamiento","Si","8 minutos","Comunicación verbal, Demostraciones","Si","Si","manual","pequeño","no recomendaría",3,"no recomendaría","Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","Si",,,,4,,"De acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 23:40:29","Chile","110E","Estudiante","en respuesta a una solicitud hecha para un consejo de higiene oral","en la primera cita del plan de tratamiento","Si","5 minutos","Demostraciones","Si","Si","manual","medio","3-6 meses",3,3,"Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1-2 veces al día","No",,,,5,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","0-4","Si","Demostraciones prácticas","Si","Si",,
1,"9/14/2014 23:47:09","Chile","172E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","no recomendaría",3,"3-5","Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo",,"Muy de acuerdo","0-4","Si","Clases teóricas","Si","Si",,
1,"9/15/2014 0:08:10","Chile","170E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","10 minutos o más","Comunicación verbal, Demostraciones","Si","Si","manual","pequeño","no recomendaría",3,"no recomendaría","Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 1:15:51","Chile","14D","Dentista","cuando usted sienta que es necesario","ocasionalmente","Si","1-2 minutos","Comunicación verbal, Demostraciones","Si","Si","manual","medio","no recomendaría",3,3,"Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","enjuagar la pasta de dientes con agua","Si","hilo dental","no recomendaría","No",1991,23,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","Si",,"Si","No","falta de compromiso del paciente",
1,"9/15/2014 1:17:02","Chile","29E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","No","Si","manual","no recomendaría","1-3 meses",3,"recomendaría","Bass modificada","Si","con fluor","no recomendaría","no recomendaría","no recomendaría","No","hilo dental","1 vez al día","No",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 1:26:41","Chile","10D","Dentista",,"en la primera cita del plan de tratamiento","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","pequeño","3 meses",2,"3-5","Bass modificada","Si","con fluor","depende del paciente","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","2 veces al día","No",1995,19,,,,"De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","5-9","Si","Demostraciones prácticas, Experiencia con pacientes propios","Si","No","falta de cooperacion de los pacientes",
1,"9/15/2014 1:27:05","Chile","33E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","8 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","1-3 meses",3,">10","Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","Al menos 1 vez cada dos días","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","No","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/15/2014 1:29:21","Chile","36E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones, Vídeos","No","Si","manual","pequeño","1-3 meses",3,"5 - 10","Bass modificada","Si","con fluor",2500,"menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","Al menos 1 vez al día","No",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 1:31:41","Chile","37E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","No","Si","manual","pequeño","3 meses","después de cada comida","3-5","Bass modificada","Si","con fluor",5000,"menos que tamaño arveja","parcialmente","Si","ambos","1 vez al día","No",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/15/2014 1:33:11","Chile","6D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)",,"Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","pequeño","3 meses",3,"2-3","Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","No",2005,9,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","0-4","Si",,"Si","Si",,
1,"9/15/2014 1:34:11","Chile","38E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Comunicación verbal, Demostraciones","No","Si","manual","recomendaría","1-3 meses",3,"3-5","Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","recomendaría","1 vez al día","No",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas","Si","Si",,
1,"9/20/2014 23:25:19","Chile","105D","Dentista","cuando usted sienta que es necesario","ocasionalmente","Si","5 minutos","Demostraciones, Vídeos","No","Si","manual","medio","1-3 meses",3,"3-5","Bass modificada","Si","con fluor","recomendaría","recomendaría","recomendaría","Si","hilo dental","1 vez al día","Si",2011,3,,,,"De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","5-9","Si","Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 19:46:57","Chile","74E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","pequeño","3-6 meses",3,"3-5","Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","No","ambos","1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","5-9","No","Demostraciones prácticas, Experiencia con pacientes propios","Si","No",,
1,"9/14/2014 21:10:43","Chile","55E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","Si","8 minutos","Demostraciones","No","Si","manual","medio","1-3 meses",3,2,"Bass modificada","Si","con fluor","1400-5000","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","no recomendaría","Al menos 1 vez al día","No",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","5-9","Si","Demostraciones prácticas","Si","Si",,
1,"9/14/2014 21:15:50","Chile","86E","Estudiante","en respuesta a una solicitud hecha para un consejo de higiene oral","en la primera cita del plan de tratamiento","Si","5 minutos","Demostraciones","Si","Si","manual","medio","3-6 meses",3,3,"Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","ambos","Al menos 1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","0-4","No","Clases teóricas, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 21:18:52","Chile","87E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","10 minutos o más","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","medio","3 meses",3,"3-5","Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","10-19","No","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","No","falta de motivación del paciente",
1,"9/14/2014 21:20:44","Chile","88E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","1-3 meses",3,"3-5","Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","enjuagar la pasta de dientes con agua","Si","ambos","1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","0-4","No","Clases teóricas, Demostraciones prácticas","Si","Si",,
1,"9/14/2014 21:23:23","Chile","34E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","8 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","No","Si","manual","pequeño","3 meses",3,"3-5","Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/14/2014 21:25:36","Chile","43E","Estudiante","en respuesta a una solicitud hecha para un consejo de higiene oral","en cada cita","Si","8 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","Si","Si","manual","pequeño","1-3 meses",3,"3-5","Bass modificada","Si","con fluor",2500,"tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","Si",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 21:33:21","Chile","118E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","5 minutos","Comunicación verbal, Demostraciones, Vídeos","No","Si","manual","pequeño","3 meses",3,3,"Bass modificada","Si","con fluor","no recomendaría","tamaño arveja ","parcialmente","Si","hilo dental","Al menos 1 vez al día","Si",,,,4,,"Muy de acuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","No","Falta de experiencia, falta motivación de los pacientes, valor psicosocial que dan ellos a su salud bucal ",
1,"9/14/2014 21:42:57","Chile","56E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","10 minutos o más","Comunicación verbal, Demostraciones, Vídeos","Si","Si","manual","pequeño","1-3 meses",3,"5 - 10","Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","Si",,,,4,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","0-4","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","No","No","Falta de enseñanza, Falta de experiencia, falta más demostraciones prácticas y ganar mas experiencia",
1,"9/14/2014 22:24:58","Chile","7E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","8 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","Si","Si","manual","recomendaría","1-3 meses","después de cada comida",3,"Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","no recomendaría","Si","ambos","Al menos 1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","De acuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Clases teóricas, Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 22:34:46","Chile","9E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","No","Si","manual","medio","3 meses",3,"3-5","Bass modificada","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","Si",,,,5,,"Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas","Si","Si",,
1,"9/14/2014 22:39:58","Chile","11E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Demostraciones","No","Si","manual","pequeño","1-3 meses",3,3,"Bass modificada","Si","con fluor","1000-1500","no recomendaría","recomendaría","Si","ambos","1 vez al día","No",,,,5,,"De acuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","10-19","Si","Clases teóricas, Demostraciones prácticas, Experiencia con pacientes propios","Si","Si",,
1,"9/14/2014 22:44:22","Chile","13E","Estudiante","cuando usted sienta que es necesario","ocasionalmente","Si","1-2 minutos","Comunicación verbal, Demostraciones","No","Si","manual","medio","1-3 meses",3,3,"Bass modificada","Si","con fluor","1000-1500","muy poco, poco","escupir la pasta de dientes, pero no enjuagar","Si","ambos","1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Clases teóricas, Demostraciones prácticas","Si","Si",,
1,"9/14/2014 22:49:29","Chile","15E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","5 minutos","Comunicación verbal, Demostraciones","No","Si","manual","recomendaría","3 meses",3,"5 - 10","Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","recomendaría","1 vez al día","Si",,,,5,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","10-19","Si","Observando a expertos entregando consejos a pacientes reales","Si","Si",,
1,"9/14/2014 23:04:26","Chile","16E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","ocasionalmente","Si","5 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas, Vídeos","No","Si","manual","medio","3 meses",3,"3-5","Bass modificada","Si","con fluor","1000-1500","no recomendaría","recomendaría","Si","ambos","1 vez al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","De acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","20 y más","Si","Demostraciones prácticas","Si","Si",,
1,"9/14/2014 23:06:58","Chile","17E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","10 minutos o más","Demostraciones","No","Si","manual","pequeño","1-3 meses",3,"3-5","Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","parcialmente","Si","ambos","2 veces al día","No",,,,5,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas","Si","Si",,
1,"9/14/2014 23:32:02","Chile","51D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","1-2 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","Si","Si","manual","recomendaría","1-3 meses","recomendaría","3-5","Bass modificada","Si","con fluor","recomendaría","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","con cada cepillado ","No",2000,14,,,,"Muy de acuerdo","Muy en desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo","5-9","Si","Demostraciones prácticas","Si","Si",,
1,"9/15/2014 0:44:35","Chile","29D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","8 minutos","Comunicación verbal, Demostraciones, Instrucciones escritas","No","Si","manual","medio","3-6 meses",3,"3-5","Bass modificada","Si","con fluor","1000-1500","menos que tamaño arveja","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","con cada cepillado ","Si",2005,9,,,,"Muy de acuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Muy en desacuerdo",,"Muy de acuerdo","0-4","No","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales","No","No","Falta de enseñanza, Falta de experiencia",
1,"8/29/2014 15:31:40","Chile","92D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la última cita del plan de tratamiento","Si","8 minutos","Demostraciones, Vídeos","No","Si","manual","medio","1-3 meses",3,"3-5","Bass modificada o Stillman","Si","con fluor","no recomendaría","no recomendaría","escupir la pasta de dientes, pero no enjuagar","Si","hilo dental","1 vez al día","No",2013,1,,,,"En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","5-9","No","Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","No","Falta de experiencia, falta de cooperacion de los pacientes",
1,"8/29/2014 15:35:02","Chile","93D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","8 minutos","Demostraciones, Vídeos","No","Si","manual","pequeño","3 meses",3,"no recomendaría","Bass modificada o Stillman","Si","con fluor","no recomendaría","no recomendaría","escupir la pasta de dientes, pero no enjuagar",,"hilo dental","1 vez al día","No",2013,1,,,,"Muy de acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo","0-4","Si","Experiencia con pacientes propios","Si","No","Falta de experiencia",
1,"8/29/2014 15:42:50","Chile","97D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","Si","8 minutos","Vídeos","No","Si","manual","medio","1-3 meses",3,"3-5","Bass modificada o Stillman","Si","con fluor","1000-1500","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","No","hilo dental","1 vez al día","No",2013,1,,,,"De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","5-9","Si","Experiencia con pacientes propios","Si","No","falta de compromiso del paciente",
1,"8/29/2014 15:46:15","Chile","99D","Dentista","como parte del cuidado regular de un paciente (es decir, siempre)","en la primera y última cita del plan de tratamiento","No","8 minutos","Vídeos","No","Si","recomendaría","pequeño","1-3 meses",3,"5 - 10","Bass modificada o Stillman","Si","con fluor","recomendaría","tamaño arveja ","escupir la pasta de dientes, pero no enjuagar","No","ambos","2-3 veces a la semana","No",2013,1,,,,"De acuerdo","Muy en desacuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","0-4","No","Experiencia con pacientes propios","Si","No","Falta de experiencia, falta de compromiso del paciente",
1,"9/8/2014 12:34:52","Chile","192E","Estudiante","como parte del cuidado regular de un paciente (es decir, siempre)","en cada cita","Si","8 minutos","Comunicación verbal, Demostraciones, Vídeos","Si","Si","manual","medio","cuando las cerdas estén abiertas",3,"3-5","Bass modificada o Stillman","Si","con fluor","no recomendaría","no recomendaría","escupir la pasta de dientes, pero no enjuagar","No","ambos","1 vez al día","Si",,,,6,,"En desacuerdo","Muy en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","20 y más","Si","Clases teóricas, Demostraciones prácticas, Observando a expertos entregando consejos a pacientes reales, Experiencia con pacientes propios","Si","No",,
